category_slug,pid,product_slug,json_file,asin,updated_at
steam-iron,9d2ea331-8cba-11ed-a7ba-930ee103a0a2,rowenta-professional-dw5280-1725-watts-steam-iron-with-stainless-steel-soleplate-blue-visit-the-rowenta-store,output_json/steam-iron/raw/B08DZJX8L1.raw.json,B08DZJX8L1,2024-03-27 18:15:27.948878
steam-iron,3aaba02c-8cba-11ed-a7ba-930ee103a0a2,blackdecker-vitessa-advanced-steam-iron-with-retractable-cord-nonstick-soleplate-sage-icr2020,output_json/steam-iron/raw/B01D1P9V00.raw.json,B01D1P9V00,2024-03-27 18:13:43.942923
steam-iron,9d2ea33d-8cba-11ed-a7ba-930ee103a0a2,rowenta-pro-master-german-made-clothes-garment-steam-iron-1775-watts-210-gmin-black-teal-visit-the-rowenta-store,output_json/steam-iron/raw/B09CQFR9T6.raw.json,B09CQFR9T6,2024-03-27 18:16:03.986812
steam-iron,3aaba02b-8cba-11ed-a7ba-930ee103a0a2,blackdecker-allure-professional-steam-iron-d3030-blue,output_json/steam-iron/raw/B00X5ILD0K.raw.json,B00X5ILD0K,2024-03-27 18:13:30.620266
steam-iron,8435d5a2-da26-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B07FKRJTFZ.raw.json,B07FKRJTFZ,2024-03-27 07:28:59.539106
steam-iron,3aaba021-8cba-11ed-a7ba-930ee103a0a2,beautural-1800-watt-steam-iron-with-digital-lcd-screen-double-layer-and-ceramic-coated-soleplate-3-way-auto-off-9-preset-temperature-and-steam-settings-for-variable-fabric,output_json/steam-iron/raw/B071HFP57N.raw.json,B071HFP57N,2024-03-27 18:13:55.466649
steam-iron,b54c094b-8cba-11ed-a7ba-930ee103a0a2,impress-basic-clothing-iron-non-stick-compact-spray-adjustable-steam-fabric-selector-swivel-cord-lightweight-brand-impress,output_json/steam-iron/raw/B07BLJDRSZ.raw.json,B07BLJDRSZ,2024-03-27 18:14:09.377769
steam-iron,535acd90-8cba-11ed-a7ba-930ee103a0a2,blackdecker-classic-steam-iron-f67ewhiteblack105-x-163-x-66,output_json/steam-iron/raw/B001RJTQ8U.raw.json,B001RJTQ8U,2024-03-27 18:12:49.457259
steam-iron,3aaba02a-8cba-11ed-a7ba-930ee103a0a2,sunbeam-hot-2-trot-800-watt-compact-non-stick-soleplate-travel-iron-gcsbtr-100-000,output_json/steam-iron/raw/B0057UMYAW.raw.json,B0057UMYAW,2024-03-27 07:28:49.688654
steam-iron,535acec1-8cba-11ed-a7ba-930ee103a0a2,rowenta-dg8624u1-perfect-pro-station-1800-watts-fast-heat-up-and-430g-min-steam-burst-advanced-technology-blue,output_json/steam-iron/raw/B084JBZPLG.raw.json,B084JBZPLG,2024-03-27 18:15:18.207266
steam-iron,535acdad-8cba-11ed-a7ba-930ee103a0a2,panasonic-ni-wl600-cordless-portable-1500w-contoured-multi-directional-steamdry-iron-stainless-steel-soleplate-power-base-and-carryingstorage-case-silver,output_json/steam-iron/raw/B00440EEIG.raw.json,B00440EEIG,2024-03-27 18:12:59.652185
steam-iron,b54c09fb-8cba-11ed-a7ba-930ee103a0a2,rowenta-dw3261-1725-watt-advanced-no-setting-no-burning-steam-iron-stainless-steel-soleplate-380-hole-black-visit-the-rowenta-store,output_json/steam-iron/raw/B07YFFNM92.raw.json,B07YFFNM92,2024-03-27 18:15:09.150359
steam-iron,b4bc0528-da28-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0BXQR4HBX.raw.json,B0BXQR4HBX,2024-03-27 07:29:13.914894
steam-iron,3aaba024-8cba-11ed-a7ba-930ee103a0a2,hamilton-beach-steam-iron-vertical-steamer-for-clothes-with-scratch-resistant-durathon-soleplate-1500-watts-retractable-cord-3-way-auto-shutoff-anti-drip-self-cleaning-blue-19803,output_json/steam-iron/raw/B00AO29IWA.raw.json,B00AO29IWA,2024-03-27 18:13:15.692128
steam-iron,914ad3d4-da29-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0B5YYN247.raw.json,B0B5YYN247,2024-03-27 07:29:12.372729
steam-iron,9d2ea335-8cba-11ed-a7ba-930ee103a0a2,chi-steam-iron-for-clothes-with-titanium-infused-ceramic-soleplate-1700-watts-xl-10-cord-3-way-auto-shutoff-300-holes-professional-grade-silver-13101-brand-chi-steam,output_json/steam-iron/raw/B071RRKXYT.raw.json,B071RRKXYT,2024-03-27 18:13:57.594039
steam-iron,3aaba020-8cba-11ed-a7ba-930ee103a0a2,sunbeam-steammaster-steam-iron-1400-watt-large-anti-drip-nonstick-stainless-steel-iron-with-steam-control-and-retractable-cord-chrometeal,output_json/steam-iron/raw/B01AX6RCD8.raw.json,B01AX6RCD8,2024-03-27 18:13:36.066802
steam-iron,0ea4885c-da2a-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B09WMVCB8V.raw.json,B09WMVCB8V,2024-03-27 07:29:11.406610
steam-iron,4b4cb982-da2a-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0BGXPNBYC.raw.json,B0BGXPNBYC,2024-03-27 07:29:13.039576
steam-iron,535ace8a-8cba-11ed-a7ba-930ee103a0a2,hamilton-beach-steam-iron-vertical-steamer-with-scratch-resistant-durathon-soleplate-1700-watts-digital-temperature-control-retractable-cord-3-way-auto-shutoff-anti-drip-self-cleaning-19901,output_json/steam-iron/raw/B00629JQSK.raw.json,B00629JQSK,2024-03-27 18:13:06.943571
